date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2001-01-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,46,17.76
2001-01-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,51.67,19.95
2001-01-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,63.9,24.67
2001-01-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,66.25,25.58
2001-02-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,82.36,31.8
2001-02-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,48.14,18.59
2001-03-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,45,17.37
2001-03-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,48.98,18.91
2001-03-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,73.22,28.27
2001-03-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,58,22.39
2001-03-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,63.25,24.42
2001-03-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,68,26.25
2001-04-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,49,18.92
2001-04-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,48.23,18.62
2001-04-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,73.24,28.28
2001-04-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,56.77,21.92
2001-04-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,70.5,27.22
2001-04-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,55.5,21.43
2001-05-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,47.49,18.34
2001-05-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,73.69,28.45
2001-05-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,56.22,21.71
2001-05-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,71,27.41
2001-05-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,51.5,19.88
2001-06-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,47.22,18.23
2001-06-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,61.76,23.85
2001-06-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,50.25,19.4
2001-06-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,71,27.41
2001-06-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,52,20.08
2001-07-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,50.56,19.52
2001-07-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,47.6,18.38
2001-07-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,54.9,21.2
2001-07-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,62.19,24.01
2001-07-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,53.1,20.5
2001-07-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,62.19,24.01
2001-07-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,55.56,21.45
2001-08-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,51.54,19.9
2001-08-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,58.75,22.68
2001-08-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,48.67,18.79
2001-08-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,76.23,29.43
2001-08-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,66.2,25.56
2001-08-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,62.89,24.28
2001-08-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,55.17,21.3
2001-08-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,62.89,24.28
2001-08-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,61.89,23.9
2001-09-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,73.83,28.51
2001-09-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,64.61,24.95
2001-09-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,55,21.24
2001-09-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,71.84,27.74
2001-09-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,55,21.24
2001-09-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,55,21.24
2001-10-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,42.65,16.47
2001-10-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,30.75,11.87
2001-10-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,38.08,14.7
2001-10-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,50,19.31
2001-10-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,56.89,21.97
2001-10-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,50,19.31
2001-11-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,31.5,12.16
2001-11-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,57.16,22.07
2001-11-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,36.28,14.01
2001-11-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,62,23.94
2001-11-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,50,19.31
2001-11-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,56.28,21.73
2001-11-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,39.05,15.08
2001-11-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,55.33,21.36
2001-12-15,Blue Nile,Damazin,Damazin,1026,11.79,34.36,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,26.33,10.17
2001-12-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,52.5,20.27
2001-12-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,36.97,14.27
2001-12-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,59.11,22.82
2001-12-15,North Darfur,El Fasher,Al Fashir,1025,13.63,25.35,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,49.66,19.17
2001-12-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,42.78,16.52
2001-12-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,31.65,12.22
2001-12-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,49.66,19.17
2001-12-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,58,22.39
2002-01-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,48.8,18.84
2002-01-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,33.75,13.03
2002-01-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,56.94,21.98
2002-01-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,30.39,11.73
2002-01-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,54.5,21.04
2002-02-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,35.83,13.83
2002-02-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,59.02,22.79
2002-02-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,48.72,18.81
2002-02-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,29.19,11.27
2002-03-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,34.62,13.37
2002-03-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,58.5,22.59
2002-03-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,33.84,13.07
2002-03-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,54.25,20.95
2002-04-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,34.94,13.49
2002-04-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,50.76,19.6
2002-04-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,31.5,12.16
2002-04-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,51.67,19.95
2002-05-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,24.75,9.56
2002-05-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,31.45,12.14
2002-06-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,48.63,18.78
2002-06-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,31.59,12.2
2002-06-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,48.5,18.73
2002-06-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,46,17.76
2002-07-15,Gedaref,Al Gedaref Rural,El Gedarif,2580,14.04,35.38,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,45.75,17.66
2002-07-15,Khartoum,Jebal Aulya,Khartoum,2588,15.51,32.54,cereals and tubers,Sorghum (white),135,90 KG,actual,Wholesale,SDG,32.5,12.55
2002-07-15,North Kordofan,Shiekan,El Obeid,1029,13.19,30.22,cereals and tubers,Millet,73,90 KG,actual,Wholesale,SDG,54,20.85
2002-07-15,Northern,Dongola,Dongola,2577,19.17,30.47,cereals and tubers,Wheat,84,90 KG,actual,Wholesale,SDG,45,17.37
